sisweb2.ucs.br - 200.233.30.176
sga.ucs.br - undefined
sgaodonto.ucs.br - undefined
documentoshg.ucs.br - undefined
docs.ucs.br - 200.160.128.32
dashotrs.ucs.br - undefined
www.ead.ucs.br - 200.160.128.48
bbb.ucs.br - undefined
rancher.ucs.br - undefined
vposeidon8.ucs.br - undefined
pan.ucs.br - 200.233.31.225
artemis1.ucs.br - undefined
vares222.ucs.br - undefined
vares221.ucs.br - undefined
bohr.ucs.br - undefined
vbaco11.ucs.br - 200.160.128.162
vtriton52.ucs.br - undefined
vares10.ucs.br - undefined
odin4.ucs.br - undefined
dns2.ucs.br - 200.160.128.80
vgaia02.ucs.br - 200.160.128.61
vares210.ucs.br - undefined
odinv2.ucs.br - undefined
vnemesis03.ucs.br - undefined
vhestia.ucs.br - 200.160.128.78
vares05.ucs.br - 200.160.128.86
vares213.ucs.br - undefined
bacula.ucs.br - undefined
vtriton53.ucs.br - undefined
vnemesis04.ucs.br - undefined
sisweb.ucs.br - 200.233.30.235
vnemesis02.ucs.br - undefined
vbaco04.ucs.br - 200.160.128.148
vares04.ucs.br - 200.160.128.112
vtriton04.ucs.br - 200.160.128.72
eduroam.ucs.br - 200.233.30.50
gaia.ucs.br - undefined
vtriton02.ucs.br - undefined
vteia03.ucs.br - undefined
dionisio.ucs.br - 200.160.128.90
apollo.ucs.br - 200.160.128.10
vteia13.ucs.br - undefined
vares06.ucs.br - 200.160.128.120
vtriton11.ucs.br - undefined
biblioteca.ucs.br - 200.160.128.48
vodin01.ucs.br - undefined
vteia11.ucs.br - undefined
vares211.ucs.br - undefined
vnemesis05.ucs.br - undefined
vares02.ucs.br - undefined
ops.ucs.br - undefined
veter09.ucs.br - undefined
amador.teste.ucs.br - undefined
vares30.ucs.br - 200.160.128.109
dns1.ucs.br - 200.160.128.126
vbaco13.ucs.br - 200.160.128.163
vgaia01.ucs.br - undefined
vposeidon2.ucs.br - undefined
vposeidon9.ucs.br - 200.160.128.156
ninfas.ucs.br - undefined
vposeidon3.ucs.br - undefined
ucsvirtual.ucs.br - 200.160.128.107
vteia20.ucs.br - undefined
apollo2.ucs.br - undefined
vtriton10.ucs.br - undefined
vtriton01.ucs.br - undefined
vares212.ucs.br - undefined
camva.ucs.br - undefined
thor.ucs.br - undefined
hera.ucs.br - undefined
bacco.ucs.br - undefined
miron.ucs.br - undefined
electra.ucs.br - undefined
vares220.ucs.br - undefined
vares201.ucs.br - undefined
ops2.ucs.br - undefined
erebo.ucs.br - undefined
switchext.ucs.br - 200.160.128.2
vnemesis06.ucs.br - undefined
ava.ucs.br - 200.160.128.31
vposeidon5.ucs.br - undefined
vposeidon1.ucs.br - undefined
hestia.ucs.br - undefined
vares202.ucs.br - undefined
cafe.ucs.br - 200.160.128.135
www.ucs.br - 200.160.128.48
vbaco17.ucs.br - 200.160.128.166
vtriton15.ucs.br - 200.160.128.98
teseu.ucs.br - undefined
mta.email.ucs.br - 13.111.21.100
vares223.ucs.br - undefined
vtriton12.ucs.br - 200.160.128.70
nix.ucs.br - undefined
vteia01.ucs.br - undefined
eros.ucs.br - undefined
cometa.ucs.br - 200.160.128.225
vnemesis01.ucs.br - undefined
vteia02.ucs.br - undefined
vtriton03.ucs.br - 200.160.128.73
poseidon.ucs.br - undefined
